OBJECTID,DATE,Allegany,Anne_Arundel,Baltimore,Baltimore_City,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince_Georges,Queen_Annes,Somerset,St_Marys,Talbot,Washington,Wicomico,Worcester,Unknown
838,2022/06/30 10:00:00+00,18020,100180,145531,125244,12336,6396,23665,16943,31585,8228,49904,5996,41905,51420,3328,199328,187784,7634,5443,20648,6058,36562,21035,9348,0
839,2022/07/01 10:00:00+00,18024,100339,145712,125430,12350,6401,23688,16959,31638,8236,49960,6006,41957,51567,3329,199780,188101,7649,5446,20681,6063,36589,21051,9361,0
840,2022/07/02 10:00:00+00,18035,100529,145865,125572,12370,6408,23710,16974,31683,8242,50012,6013,41994,51659,3332,200191,188356,7656,5452,20718,6068,36616,21084,9370,0
841,2022/07/03 10:00:00+00,18038,100618,146014,125672,12387,6408,23730,16989,31717,8246,50058,6015,42044,51744,3337,200445,188579,7661,5454,20721,6073,36633,21098,9379,0
842,2022/07/04 10:00:00+00,18046,100733,146127,125779,12393,6415,23750,17014,31763,8252,50102,6021,42084,51844,3342,200702,188763,7665,5457,20739,6076,36637,21114,9387,0
843,2022/07/05 10:00:00+00,18050,100824,146214,125836,12396,6416,23760,17023,31795,8258,50123,6023,42105,51898,3344,200893,188916,7668,5457,20747,6083,36646,21117,9394,0
844,2022/07/06 10:00:00+00,18097,100930,146357,125954,12420,6420,23782,17040,31843,8262,50175,6034,42154,51997,3348,201224,189156,7676,5459,20761,6084,36658,21134,9401,0
845,2022/07/07 10:00:00+00,18112,101025,146485,126080,12433,6425,23819,17059,31882,8270,50241,6046,42197,52062,3355,201468,189350,7685,5461,20774,6090,36699,21146,9407,0
846,2022/07/08 10:00:00+00,18125,101187,146708,126259,12446,6430,23852,17083,31939,8277,50318,6055,42258,52174,3358,201832,189722,7695,5470,20832,6105,36733,21166,9420,0
847,2022/07/09 10:00:00+00,18143,101378,146883,126439,12467,6442,23887,17108,32008,8285,50369,6069,42323,52303,3368,202280,190069,7703,5471,20866,6116,36765,21198,9422,0
848,2022/07/10 10:00:00+00,18144,101481,147054,126570,12480,6449,23900,17124,32047,8290,50411,6073,42359,52403,3371,202646,190298,7711,5472,20879,6120,36774,21205,9423,0
849,2022/07/11 10:00:00+00,18144,101582,147172,126647,12484,6452,23917,17141,32077,8292,50431,6075,42387,52479,3374,202925,190486,7716,5472,20889,6122,36775,21210,9426,0
850,2022/07/12 10:00:00+00,18173,101743,147361,126814,12508,6460,23942,17167,32132,8299,50496,6085,42450,52605,3378,203301,190816,7719,5474,20918,6125,36794,21228,9435,0
851,2022/07/13 10:00:00+00,18205,101939,147512,126963,12525,6465,23967,17186,32175,8311,50555,6097,42520,52738,3382,203679,191141,7731,5478,20943,6130,36844,21266,9451,0
852,2022/07/14 10:00:00+00,18222,102107,147702,127122,12531,6471,23999,17205,32229,8320,50630,6109,42576,52830,3385,204196,191403,7736,5479,20963,6143,36869,21290,9462,0
853,2022/07/15 10:00:00+00,18233,102246,147903,127290,12549,6477,24022,17231,32287,8327,50686,6119,42645,52944,3388,204612,191754,7739,5491,20991,6148,36896,21318,9465,0
854,2022/07/16 10:00:00+00,18273,102429,148074,127458,12565,6482,24046,17243,32337,8331,50750,6127,42700,53052,3390,205062,192085,7745,5496,21023,6152,36939,21352,9474,0
855,2022/07/17 10:00:00+00,18281,102551,148227,127579,12577,6483,24066,17263,32365,8336,50803,6133,42735,53145,3395,205352,192322,7753,5497,21036,6157,36960,21374,9480,0
856,2022/07/18 10:00:00+00,18285,102632,148340,127663,12596,6486,24086,17278,32397,8337,50840,6135,42767,53205,3396,205664,192521,7757,5504,21045,6161,36972,21388,9487,0
857,2022/07/19 10:00:00+00,18301,102707,148457,127768,12607,6489,24112,17289,32430,8341,50899,6142,42800,53296,3398,205955,192724,7765,5506,21059,6163,36992,21406,9493,0
858,2022/07/20 10:00:00+00,18327,102883,148667,127985,12627,6493,24144,17311,32476,8348,50972,6157,42879,53417,3403,206399,193103,7775,5510,21084,6170,37048,21452,9505,0
859,2022/07/21 10:00:00+00,18344,103078,148877,128202,12662,6497,24169,17328,32538,8353,51030,6166,42952,53563,3413,206883,193459,7780,5514,21112,6174,37086,21489,9524,0
860,2022/07/22 10:00:00+00,18356,103239,149083,128402,12684,6503,24209,17346,32591,8365,51089,6173,43013,53655,3418,207203,193765,7794,5521,21125,6180,37141,21528,9539,0
861,2022/07/23 10:00:00+00,18409,103397,149264,128588,12700,6511,24237,17378,32649,8375,51160,6179,43070,53758,3427,207617,194100,7799,5525,21154,6186,37182,21566,9550,0
862,2022/07/24 10:00:00+00,18424,103478,149369,128703,12708,6516,24253,17389,32676,8376,51197,6185,43100,53804,3432,207867,194303,7804,5531,21170,6192,37216,21590,9556,0
863,2022/07/25 10:00:00+00,18428,103584,149509,128817,12718,6522,24271,17408,32720,8380,51242,6189,43129,53874,3436,208100,194512,7808,5534,21180,6193,37226,21604,9563,0
864,2022/07/26 10:00:00+00,18519,103776,149696,128997,12747,6527,24298,17432,32788,8389,51304,6200,43186,53949,3446,208504,194853,7812,5540,21206,6197,37273,21640,9575,0
865,2022/07/27 10:00:00+00,18548,103916,149882,129141,12759,6531,24325,17454,32832,8399,51371,6205,43240,54036,3449,208846,195197,7818,5545,21239,6209,37322,21663,9590,0
866,2022/07/28 10:00:00+00,18562,104084,150078,129367,12784,6541,24359,17480,32901,8417,51432,6214,43300,54153,3453,209225,195571,7832,5562,21264,6224,37370,21709,9610,0
867,2022/07/29 10:00:00+00,18586,104292,150277,129540,12796,6552,24403,17507,32958,8434,51478,6219,43363,54262,3454,209599,195944,7844,5569,21311,6234,37414,21741,9628,0
868,2022/07/30 10:00:00+00,18606,104445,150451,129728,12808,6556,24427,17526,33030,8447,51550,6228,43417,54354,3462,209996,196319,7852,5575,21341,6242,37435,21777,9637,0
869,2022/07/31 10:00:00+00,18612,104535,150581,129826,12816,6563,24454,17550,33061,8449,51592,6231,43453,54458,3464,210280,196562,7858,5579,21354,6242,37469,21807,9647,0
870,2022/08/01 10:00:00+00,18617,104622,150734,129931,12821,6565,24463,17569,33105,8456,51625,6234,43495,54516,3467,210506,196756,7862,5582,21366,6244,37473,21835,9658,0
871,2022/08/02 10:00:00+00,18694,104732,150941,130095,12830,6571,24480,17596,33159,8469,51686,6238,43545,54607,3471,210867,197075,7865,5586,21382,6250,37509,21863,9674,0
872,2022/08/03 10:00:00+00,18719,104867,151120,130250,12839,6578,24512,17609,33207,8478,51747,6244,43594,54692,3475,211140,197364,7880,5592,21410,6258,37550,21908,9684,0
873,2022/08/04 10:00:00+00,18755,105018,151344,130469,12862,6585,24551,17637,33264,8484,51843,6250,43646,54799,3480,211569,197702,7887,5598,21444,6267,37588,21948,9700,0
874,2022/08/05 10:00:00+00,18777,105136,151529,130687,12879,6592,24588,17666,33316,8494,51904,6259,43697,54898,3490,211910,198018,7900,5606,21478,6281,37617,21975,9713,0
875,2022/08/06 10:00:00+00,18799,105254,151697,130870,12894,6597,24609,17702,33358,8516,51963,6263,43754,54948,3495,212267,198280,7909,5615,21496,6294,37653,22005,9724,0
876,2022/08/07 10:00:00+00,18813,105335,151824,130975,12904,6600,24633,17713,33401,8522,52011,6265,43789,55016,3498,212489,198470,7912,5618,21508,6303,37691,22021,9730,0
877,2022/08/08 10:00:00+00,18822,105387,151938,131067,12917,6604,24651,17738,33428,8531,52057,6270,43819,55074,3506,212690,198640,7917,5622,21533,6310,37699,22043,9742,0
878,2022/08/09 10:00:00+00,18877,105530,152116,131244,12929,6616,24680,17768,33476,8548,52127,6280,43880,55138,3510,213007,198954,7923,5629,21571,6315,37759,22100,9758,0
879,2022/08/10 10:00:00+00,18898,105778,152309,131395,12945,6619,24709,17794,33519,8558,52191,6286,43941,55255,3514,213354,199228,7935,5634,21601,6326,37786,22132,9777,0
880,2022/08/11 10:00:00+00,18912,106005,152493,131578,12980,6634,24748,17824,33577,8571,52246,6287,44003,55342,3517,213689,199573,7946,5642,21664,6339,37860,22173,9797,0
