OBJECTID,DATE,Allegany,Anne_Arundel,Baltimore,Baltimore_City,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince_Georges,Queen_Annes,Somerset,St_Marys,Talbot,Washington,Wicomico,Worcester,Unknown
259,2020/12/17 10:00:00+00,128,308,821,620,42,10,149,61,114,17,157,30,125,160,24,1009,984,26,15,77,7,108,69,41,50
260,2020/12/18 10:00:00+00,134,311,825,628,42,10,150,62,115,17,160,30,126,163,24,1012,991,26,15,78,7,110,70,41,41
261,2020/12/19 10:00:00+00,135,315,832,636,43,10,151,63,116,17,162,31,127,164,24,1014,998,26,15,80,7,113,71,41,51
262,2020/12/20 10:00:00+00,140,316,838,643,44,10,152,63,116,17,162,34,129,164,24,1015,1009,26,16,81,7,115,71,41,46
263,2020/12/21 10:00:00+00,142,322,845,647,44,10,153,63,116,17,162,36,130,165,24,1019,1010,26,19,81,7,117,71,42,34
264,2020/12/22 10:00:00+00,145,324,851,650,44,10,154,63,116,17,163,36,133,167,24,1025,1015,26,19,82,7,123,72,42,45
265,2020/12/23 10:00:00+00,146,329,860,656,44,10,155,65,116,18,163,37,135,167,24,1032,1019,26,19,82,7,127,73,43,49
266,2020/12/24 10:00:00+00,150,331,865,667,44,10,157,67,116,18,166,37,138,168,24,1037,1024,26,20,83,7,134,73,43,57
267,2020/12/25 10:00:00+00,151,334,870,666,44,10,159,68,116,18,167,41,140,170,25,1049,1034,26,20,83,7,134,74,43,44
268,2020/12/26 10:00:00+00,151,336,876,670,44,10,159,69,116,19,169,42,145,170,25,1050,1036,26,20,83,7,134,75,43,39
269,2020/12/27 10:00:00+00,151,338,877,672,44,10,161,69,116,19,171,42,146,170,25,1055,1038,26,20,83,7,136,75,44,50
270,2020/12/28 10:00:00+00,152,339,880,674,44,10,161,69,118,19,174,43,147,170,25,1061,1042,26,20,84,7,136,75,45,52
271,2020/12/29 10:00:00+00,151,343,887,678,44,10,161,70,119,21,174,44,150,170,25,1068,1045,27,21,84,7,140,76,45,76
272,2020/12/30 10:00:00+00,153,349,896,680,44,10,160,72,121,21,181,49,154,171,25,1077,1052,27,21,83,8,145,76,45,61
273,2020/12/31 10:00:00+00,153,352,904,683,44,10,161,72,123,22,186,49,160,174,25,1081,1058,27,22,87,8,147,77,47,55
274,2021/01/01 10:00:00+00,154,354,913,690,45,10,163,73,123,22,188,52,164,175,25,1086,1062,27,22,89,8,151,78,47,55
275,2021/01/02 10:00:00+00,155,356,917,695,45,10,163,75,124,23,188,52,165,175,26,1089,1069,27,22,89,8,153,78,48,47
276,2021/01/03 10:00:00+00,154,356,922,700,45,10,165,75,127,23,190,52,167,175,26,1095,1070,27,22,89,8,154,79,49,46
277,2021/01/04 10:00:00+00,155,357,925,703,45,10,166,76,128,24,190,52,167,175,26,1097,1073,27,22,89,8,155,80,49,60
278,2021/01/05 10:00:00+00,156,362,933,704,46,11,169,77,128,24,192,50,169,176,26,1104,1074,27,22,89,9,159,84,49,73
279,2021/01/06 10:00:00+00,158,365,941,710,46,11,170,77,128,24,194,52,170,176,26,1114,1084,27,22,91,10,161,88,50,65
280,2021/01/07 10:00:00+00,160,372,952,716,46,11,172,78,128,24,196,52,171,177,26,1119,1090,27,22,92,10,163,88,50,62
281,2021/01/08 10:00:00+00,161,378,958,723,46,11,172,80,130,24,197,52,173,178,26,1126,1102,28,21,92,10,170,90,52,47
282,2021/01/09 10:00:00+00,161,383,966,724,46,11,172,80,129,24,201,53,175,178,26,1131,1104,28,22,92,11,170,92,53,43
283,2021/01/10 10:00:00+00,162,386,967,723,46,11,172,80,130,24,201,54,175,180,28,1137,1110,28,22,92,11,171,93,54,43
284,2021/01/11 10:00:00+00,162,388,972,725,46,11,173,80,130,24,201,54,175,181,28,1140,1115,28,22,92,11,171,94,56,50
285,2021/01/12 10:00:00+00,163,390,984,728,46,12,173,81,131,24,204,54,177,182,29,1146,1120,29,23,94,11,173,94,58,70
286,2021/01/13 10:00:00+00,163,393,996,731,46,13,174,84,131,24,207,56,177,182,29,1160,1124,30,23,94,11,175,96,58,56
287,2021/01/14 10:00:00+00,164,396,1006,735,46,13,174,84,131,24,209,56,178,182,28,1167,1128,32,23,94,12,177,98,61,59
288,2021/01/15 10:00:00+00,164,399,1016,739,46,13,175,86,132,24,213,56,180,184,28,1173,1134,32,24,94,14,177,100,63,56
289,2021/01/16 10:00:00+00,164,402,1024,744,46,13,175,89,132,24,214,56,183,186,28,1177,1135,32,24,95,15,178,101,65,67
290,2021/01/17 10:00:00+00,164,405,1029,746,46,13,175,89,132,24,215,56,183,187,28,1182,1134,32,24,96,15,178,101,65,75
291,2021/01/18 10:00:00+00,165,408,1033,755,46,13,175,90,133,25,216,56,183,188,28,1190,1143,32,24,96,16,181,102,65,60
292,2021/01/19 10:00:00+00,166,410,1037,757,48,13,176,90,135,26,216,56,186,189,28,1196,1152,32,24,96,16,184,103,68,72
293,2021/01/20 10:00:00+00,168,415,1044,757,50,13,176,92,137,26,218,56,190,190,28,1201,1164,32,25,98,16,190,110,69,49
294,2021/01/21 10:00:00+00,170,418,1051,760,51,14,179,94,137,27,221,56,190,191,28,1212,1166,32,26,99,16,192,112,69,49
295,2021/01/22 10:00:00+00,173,424,1060,764,53,14,181,99,139,27,225,56,191,191,28,1220,1169,32,27,99,16,200,113,69,47
296,2021/01/23 10:00:00+00,174,427,1067,765,54,14,183,101,140,28,226,56,193,192,28,1225,1173,32,27,99,17,203,115,69,54
297,2021/01/24 10:00:00+00,174,429,1070,772,55,14,183,101,140,28,229,56,193,192,28,1231,1178,32,26,99,17,206,118,72,47
298,2021/01/25 10:00:00+00,175,433,1074,773,55,14,184,101,140,30,231,56,194,193,28,1235,1179,32,26,99,18,207,121,73,55
299,2021/01/26 10:00:00+00,175,437,1080,776,56,15,184,105,141,30,232,56,196,195,32,1240,1179,32,26,99,20,214,123,76,69
300,2021/01/27 10:00:00+00,176,441,1093,779,56,16,186,108,143,31,233,56,199,195,32,1248,1186,32,26,101,20,216,123,76,49
301,2021/01/28 10:00:00+00,177,444,1098,783,58,16,188,109,143,33,232,56,202,195,34,1250,1191,32,26,102,21,219,125,77,50
302,2021/01/29 10:00:00+00,179,450,1105,791,60,16,188,109,144,35,235,56,203,198,34,1254,1194,32,26,103,21,219,126,76,46
303,2021/01/30 10:00:00+00,181,456,1113,795,60,16,189,109,144,35,235,56,203,198,34,1256,1200,33,26,104,21,223,128,77,39
304,2021/01/31 10:00:00+00,182,457,1116,798,60,16,189,109,144,35,236,56,203,198,34,1260,1203,33,26,104,21,223,128,77,43
305,2021/02/01 10:00:00+00,183,458,1118,800,60,16,189,109,144,35,237,56,204,199,34,1266,1208,33,26,105,22,224,128,77,47
306,2021/02/02 10:00:00+00,185,460,1120,801,60,16,189,109,144,36,237,57,205,199,34,1269,1210,33,26,105,23,225,128,77,64
307,2021/02/03 10:00:00+00,188,467,1125,802,60,17,189,109,144,36,242,57,209,201,35,1276,1215,34,26,107,24,227,130,77,46
308,2021/02/04 10:00:00+00,189,471,1131,802,60,17,193,110,144,36,243,57,209,202,35,1280,1218,34,26,107,26,228,130,78,48
309,2021/02/05 10:00:00+00,189,474,1135,806,60,18,195,111,145,36,245,57,209,203,35,1290,1220,34,26,108,26,230,132,80,45
310,2021/02/06 10:00:00+00,189,475,1144,809,62,18,197,111,145,36,247,57,212,203,35,1294,1225,34,26,108,26,232,134,84,47
311,2021/02/07 10:00:00+00,189,478,1148,813,62,18,198,111,146,37,247,57,212,204,35,1298,1230,35,26,108,26,233,134,85,40
312,2021/02/08 10:00:00+00,190,479,1152,816,62,18,198,111,148,37,247,57,212,205,36,1303,1234,35,26,108,26,235,135,85,38
313,2021/02/09 10:00:00+00,191,482,1160,822,62,18,198,111,148,38,247,57,214,206,36,1307,1236,35,26,108,26,236,135,86,49
314,2021/02/10 10:00:00+00,192,487,1163,824,62,18,200,111,148,38,248,57,214,206,37,1316,1244,36,26,108,28,237,135,87,45
315,2021/02/11 10:00:00+00,192,487,1171,827,62,18,201,111,149,39,248,57,217,208,37,1319,1252,36,28,108,29,237,136,86,33
316,2021/02/12 10:00:00+00,192,488,1181,831,62,18,201,112,149,39,251,57,219,209,37,1324,1255,36,29,109,29,237,136,86,37
317,2021/02/13 10:00:00+00,193,488,1187,833,62,18,201,112,149,39,252,57,220,210,37,1326,1255,36,29,109,30,237,137,86,53
318,2021/02/14 10:00:00+00,193,489,1188,834,62,18,201,112,149,39,252,57,222,211,37,1328,1257,36,29,110,30,237,137,86,60
319,2021/02/15 10:00:00+00,194,494,1195,837,62,18,202,113,150,39,254,57,222,211,37,1337,1262,36,30,111,30,240,139,87,43
320,2021/02/16 10:00:00+00,195,497,1197,838,62,18,202,113,150,39,254,57,224,210,38,1337,1264,36,30,111,31,242,139,88,58
321,2021/02/17 10:00:00+00,195,498,1200,836,64,18,203,113,150,40,255,58,225,211,38,1337,1266,37,30,111,31,242,139,89,63
322,2021/02/18 10:00:00+00,195,504,1209,844,65,18,203,113,151,42,256,58,227,210,39,1348,1275,37,30,112,31,245,140,90,37
323,2021/02/19 10:00:00+00,195,504,1209,846,65,18,203,114,151,42,256,58,227,210,39,1350,1274,37,30,112,31,244,141,90,49
324,2021/02/20 10:00:00+00,196,507,1213,846,66,18,203,115,151,42,257,58,227,210,40,1350,1274,37,30,112,31,245,141,90,56
325,2021/02/21 10:00:00+00,196,507,1214,846,66,18,203,115,151,42,258,58,227,210,40,1351,1276,37,30,112,31,245,141,90,69
326,2021/02/22 10:00:00+00,196,508,1217,846,66,18,203,115,151,42,258,58,227,210,40,1353,1278,37,30,112,31,245,141,90,78
327,2021/02/23 10:00:00+00,197,510,1220,848,67,18,205,115,152,42,258,60,229,212,40,1352,1280,37,30,113,32,246,141,90,86
328,2021/02/24 10:00:00+00,197,513,1226,853,67,18,206,117,152,42,260,60,230,212,40,1354,1285,37,30,113,32,248,141,91,83
329,2021/02/25 10:00:00+00,197,518,1241,864,68,19,207,117,155,44,263,60,232,213,40,1363,1298,37,31,114,33,249,141,91,28
330,2021/02/26 10:00:00+00,197,520,1244,865,69,19,207,118,155,44,267,60,232,213,40,1363,1298,37,31,114,34,249,141,91,48
331,2021/02/27 10:00:00+00,198,522,1248,864,70,19,208,118,155,44,269,60,233,214,40,1365,1299,37,31,114,34,250,141,91,50
332,2021/02/28 10:00:00+00,198,524,1249,865,70,19,209,118,155,44,271,60,233,214,40,1367,1300,37,31,114,34,250,141,91,53
333,2021/03/01 10:00:00+00,198,525,1249,865,70,19,209,118,155,44,271,60,233,214,40,1367,1300,37,31,114,34,250,141,91,62
334,2021/03/02 10:00:00+00,198,528,1250,869,70,20,209,118,155,44,272,60,235,214,41,1373,1302,37,31,114,34,251,141,92,65
335,2021/03/03 10:00:00+00,198,528,1254,873,70,20,209,119,157,44,272,60,235,214,41,1375,1305,37,31,114,34,252,142,92,61
336,2021/03/04 10:00:00+00,198,529,1256,875,71,20,209,120,157,44,272,60,235,214,41,1376,1307,37,32,114,34,252,143,91,53
337,2021/03/05 10:00:00+00,199,530,1257,876,71,20,209,121,158,44,272,60,236,215,41,1379,1309,37,32,115,34,254,143,91,45
338,2021/03/06 10:00:00+00,199,531,1258,878,71,20,209,121,158,44,272,60,236,214,41,1381,1310,37,32,115,34,254,143,91,50
339,2021/03/07 10:00:00+00,199,531,1259,879,71,20,209,121,158,44,273,60,236,214,41,1381,1312,37,32,115,35,255,143,91,57
340,2021/03/08 10:00:00+00,199,531,1259,879,71,20,209,121,158,44,274,60,237,214,41,1381,1312,37,32,115,35,255,143,91,63
341,2021/03/09 10:00:00+00,199,532,1266,879,72,21,210,121,159,44,274,60,240,214,41,1385,1315,37,32,115,35,256,144,91,64
342,2021/03/10 10:00:00+00,199,534,1272,881,72,21,210,121,159,44,277,60,241,214,41,1390,1317,38,34,116,35,256,145,91,52
343,2021/03/11 10:00:00+00,200,537,1273,885,72,21,210,122,159,44,278,60,241,214,41,1392,1322,38,34,116,35,256,145,91,46
344,2021/03/12 10:00:00+00,200,538,1279,887,72,21,210,122,159,44,278,60,242,214,41,1393,1322,38,34,117,35,256,145,91,50
345,2021/03/13 10:00:00+00,200,538,1279,888,72,21,212,122,162,44,278,60,244,214,42,1394,1323,39,34,117,35,256,146,91,45
346,2021/03/14 10:00:00+00,200,538,1281,888,72,21,211,122,162,44,278,60,244,214,42,1396,1323,39,34,117,35,256,146,91,52
347,2021/03/15 10:00:00+00,200,538,1281,888,72,21,211,122,162,44,278,60,244,214,42,1397,1323,39,34,117,35,256,146,91,58
348,2021/03/16 10:00:00+00,200,539,1284,893,72,21,211,122,164,44,278,61,246,214,42,1398,1325,39,34,117,36,256,146,91,63
349,2021/03/17 10:00:00+00,200,540,1288,895,72,22,211,122,164,44,278,61,247,214,42,1401,1327,39,34,117,36,257,147,91,66
350,2021/03/18 10:00:00+00,201,542,1293,898,72,22,210,122,165,46,280,61,249,214,42,1403,1332,39,34,117,36,257,147,91,56
351,2021/03/19 10:00:00+00,201,544,1303,901,73,22,210,122,167,46,282,61,251,216,42,1409,1338,39,35,118,36,257,148,91,35
